Transaction_ID,User_ID,Transaction_Amount,Transaction_Type,Time_of_Transaction,Device_Used,Location,Previous_Fraudulent_Transactions,Account_Age,Number_of_Transactions_Last_24H,Payment_Method,Fraudulent
T1,4174,1292.76,ATM Withdrawal,16,Tablet,San Francisco,0,119,13,Debit Card,0
T2,4507,1554.58,ATM Withdrawal,13,Mobile,New York,4,79,3,Credit Card,0
T3,1860,2395.02,ATM Withdrawal,,Mobile,,3,115,9,,0
T4,2294,100.1,Bill Payment,15,Desktop,Chicago,4,3,4,UPI,0
T5,2130,1490.5,POS Payment,19,Mobile,San Francisco,2,57,7,Credit Card,0
T6,2095,2372.04,ATM Withdrawal,15,Desktop,Boston,3,96,14,Credit Card,0
T7,4772,544.81,Bill Payment,2,Tablet,Boston,3,6,9,UPI,1
T8,4092,635.75,ATM Withdrawal,13,Tablet,Boston,2,13,10,Debit Card,0
T9,2638,2318.87,Bank Transfer,,Mobile,San Francisco,4,110,12,Debit Card,0
T10,3169,3656.17,Bill Payment,3,Mobile,Chicago,4,66,3,Net Banking,0
T11,1466,,Online Purchase,3,Tablet,Houston,1,4,6,Net Banking,0
T12,2238,2733.84,Bill Payment,20,Mobile,San Francisco,2,68,1,Credit Card,0
T13,1330,2376.37,Bank Transfer,0,Mobile,Boston,1,25,7,Net Banking,0
T14,2482,1924.48,Online Purchase,0,Tablet,Chicago,0,113,1,Net Banking,0
T15,3135,968.78,ATM Withdrawal,15,,San Francisco,1,52,13,Net Banking,0
T16,4444,737.08,Bill Payment,12,Tablet,Houston,2,65,4,Net Banking,0
T17,4171,3960.52,Bank Transfer,13,Tablet,Miami,2,68,8,Debit Card,0
T18,3919,2327.71,Online Purchase,20,,Miami,4,21,1,Debit Card,0
T19,4735,3952.65,POS Payment,21,Tablet,Boston,1,61,14,Net Banking,0
T20,1130,3521.89,Bill Payment,14,Mobile,San Francisco,1,22,12,UPI,0
T21,2685,973.51,Bill Payment,2,Mobile,New York,1,43,12,UPI,0
T22,4380,2553.98,ATM Withdrawal,3,Mobile,Miami,1,7,9,Net Banking,0
T23,1769,2222.86,POS Payment,14,Mobile,Miami,1,103,10,UPI,0
T24,3391,,ATM Withdrawal,7,Mobile,Boston,3,8,10,Net Banking,0
T25,2515,2715.14,POS Payment,4,,Boston,1,71,10,Net Banking,0
T26,4485,,Online Purchase,17,Mobile,Miami,2,63,8,UPI,0
T27,3853,4065.44,Online Purchase,21,Tablet,New York,4,99,9,Net Banking,0
T28,3433,4519.04,Bill Payment,13,Tablet,Boston,0,81,10,Credit Card,1
T29,2215,153.05,Bill Payment,20,Mobile,Los Angeles,3,82,2,Debit Card,0
T30,1955,705.98,Online Purchase,12,Mobile,Los Angeles,3,2,11,UPI,0
T31,3324,428.39,POS Payment,20,Desktop,New York,0,85,10,Credit Card,0
T32,2184,1319.84,ATM Withdrawal,12,Mobile,Houston,3,81,2,Debit Card,0
T33,1459,2212.25,Online Purchase,10,Desktop,New York,4,14,13,UPI,0
T34,4385,3212.06,Online Purchase,20,Mobile,San Francisco,0,31,2,UPI,0
T35,1021,2506.65,Bank Transfer,5,Tablet,Miami,0,108,13,Debit Card,0
T36,3300,4516.4,Bill Payment,7,Mobile,Houston,0,110,10,Net Banking,0
T37,1747,4699.58,POS Payment,15,Desktop,San Francisco,1,14,14,Net Banking,0
T38,3904,821.79,ATM Withdrawal,7,Mobile,San Francisco,2,116,10,Credit Card,0
T39,4632,4265.3,Bank Transfer,0,Tablet,Seattle,4,15,4,UPI,0
T40,1474,2411.2,Bank Transfer,19,Mobile,New York,4,14,12,,0
T41,2082,2269.38,Online Purchase,8,Tablet,New York,0,51,1,Debit Card,0
T42,3558,3925.77,Bill Payment,13,Mobile,Houston,2,71,1,Invalid Method,0
T43,4753,470.24,Online Purchase,11,Desktop,Boston,2,8,3,Debit Card,0
T44,3047,4413.05,Bank Transfer,21,Desktop,Boston,4,46,11,Credit Card,1
T45,4547,3355.96,Bank Transfer,4,Desktop,Houston,0,21,3,Net Banking,0
T46,3747,4376.93,ATM Withdrawal,20,Mobile,New York,1,94,7,Net Banking,0
T47,1975,4972.42,Online Purchase,13,Tablet,Houston,1,93,14,Credit Card,0
T48,2806,2592.43,Online Purchase,13,Tablet,New York,1,119,14,Net Banking,0
T49,1189,470.84,POS Payment,,Tablet,New York,1,70,3,Net Banking,0
T50,4005,,ATM Withdrawal,4,Mobile,Boston,3,10,7,Debit Card,0
T51,3734,1621.47,Bill Payment,17,Desktop,Los Angeles,4,108,5,Debit Card,0
T52,4005,522.25,Online Purchase,8,Mobile,Miami,0,1,1,Net Banking,0
T53,1562,4077.63,Online Purchase,18,Desktop,Houston,1,85,12,Debit Card,0
T54,2899,1487.85,Bill Payment,0,Mobile,Houston,0,21,5,Debit Card,0
T55,4638,4879.55,ATM Withdrawal,1,Desktop,Houston,0,58,11,Net Banking,0
T56,2267,3514.44,Online Purchase,20,Tablet,San Francisco,2,112,6,Net Banking,0
T57,3879,871.28,Bill Payment,11,Mobile,Chicago,3,41,14,Net Banking,0
T58,2528,2382.83,POS Payment,,Unknown Device,New York,0,27,14,Credit Card,0
T59,4202,2337.09,Online Purchase,20,Tablet,Chicago,0,19,7,UPI,0
T60,4556,2465.1,Bill Payment,18,Tablet,Houston,2,41,14,Credit Card,0
T61,4890,2680.78,Bank Transfer,21,Mobile,Los Angeles,3,68,5,Credit Card,0
T62,1646,160.71,Online Purchase,19,Mobile,Miami,3,35,11,Debit Card,0
T63,3068,3433.07,POS Payment,1,Mobile,Los Angeles,2,7,2,UPI,0
T64,3888,2438.52,Bill Payment,3,Mobile,Seattle,1,18,11,Credit Card,0
T65,3214,3955.87,Bill Payment,20,,New York,4,106,4,UPI,0
T66,2297,4077.67,Online Purchase,5,Mobile,Chicago,0,13,12,Invalid Method,0
T67,3435,1156.52,Bank Transfer,16,Desktop,San Francisco,4,29,12,UPI,0
T68,1600,246.87,Bill Payment,22,Mobile,Seattle,1,1,6,Debit Card,0
T69,3363,3517.65,Bill Payment,0,Desktop,Boston,2,29,8,UPI,1
T70,3061,4888.93,Bank Transfer,19,Desktop,Chicago,0,109,2,Net Banking,0
T71,1241,2236.06,POS Payment,9,Mobile,Boston,2,63,3,,0
T72,3041,1301.77,Online Purchase,3,Mobile,Chicago,4,61,8,Invalid Method,0
T73,3824,787.58,Online Purchase,0,Mobile,,1,103,1,Credit Card,0
T74,4417,1440.79,Online Purchase,15,Tablet,Miami,2,16,1,Net Banking,1
T75,3612,1642.96,ATM Withdrawal,18,Tablet,,0,74,11,UPI,0
T76,3945,2122.25,Online Purchase,14,Desktop,Los Angeles,3,28,14,Net Banking,0
T77,2363,3278.76,Bank Transfer,3,,Miami,2,107,13,UPI,0
T78,3139,1369.45,Online Purchase,0,Desktop,Miami,2,78,3,,0
T79,2390,259.63,POS Payment,16,Desktop,Houston,4,65,9,Net Banking,0
T80,4003,1869.53,ATM Withdrawal,18,Tablet,San Francisco,1,79,9,UPI,0
T81,2478,4278.87,Bank Transfer,20,Desktop,Houston,3,18,7,UPI,0
T82,4499,2494.27,Bank Transfer,13,Desktop,San Francisco,3,44,6,UPI,1
T83,3556,4824.09,POS Payment,8,Desktop,Boston,3,77,4,UPI,0
T84,1775,2520.59,Online Purchase,14,Desktop,Chicago,2,40,12,Net Banking,0
T85,1034,1383.11,ATM Withdrawal,12,Mobile,Boston,3,20,11,Credit Card,1
T86,3253,970.6,ATM Withdrawal,8,Mobile,Los Angeles,3,11,2,Credit Card,0
T87,4152,3474.15,ATM Withdrawal,17,Desktop,Chicago,2,50,14,Net Banking,0
T88,2955,2684.22,Bank Transfer,12,Tablet,Boston,3,45,14,Debit Card,0
T89,2585,3021.97,POS Payment,10,Desktop,San Francisco,1,8,14,Debit Card,0
T90,4943,3776.86,Bank Transfer,4,Desktop,Miami,4,114,6,Net Banking,0
T91,4459,3630.89,Online Purchase,18,Desktop,San Francisco,3,37,1,UPI,0
T92,4073,221.6,Bill Payment,5,Desktop,Houston,3,116,9,UPI,0
T93,2021,4013.85,ATM Withdrawal,2,Tablet,Los Angeles,4,57,12,Credit Card,0
T94,4461,2665.85,ATM Withdrawal,15,Desktop,Miami,2,48,7,Net Banking,0
T95,3613,1961.58,ATM Withdrawal,17,Mobile,New York,0,30,4,,0
T96,2129,2689.91,Bank Transfer,9,Desktop,,2,77,12,UPI,0
T97,4843,3064.19,ATM Withdrawal,2,Mobile,Miami,2,116,3,Debit Card,0
